DATE (MM/DD/YYYY),HOUR-MST,Avg Global LI-200 [W/m^2],Avg Cabin Temp [deg F],Avg Lower Temp [deg F],Avg Relative Humidity [%],Avg CR10X Battery [VDC]
1/1/2018,1,-0.0182,48.0517,62.3842,32.2575,12.5025
1/1/2018,2,-0.0114,47.3517,62.1850,28.9383,12.4892
1/1/2018,3,-0.0139,46.6475,61.9825,27.3017,12.4700
1/1/2018,4,-0.0190,45.9992,61.8108,25.7033,12.4533
1/1/2018,5,-0.0138,45.3925,61.5708,27.8242,12.4308
1/1/2018,6,-0.0107,44.8117,61.3533,26.1433,12.4100
1/1/2018,7,0.0015,44.2583,61.1908,24.9058,12.3875
1/1/2018,8,5.7220,43.7717,60.9592,23.6033,12.3725
1/1/2018,9,122.7558,43.3367,60.7917,18.2892,12.5875
1/1/2018,10,336.6750,43.7725,60.6267,20.5792,13.1758
1/1/2018,11,452.4583,44.6600,60.4108,13.7392,13.3617
1/1/2018,12,520.5500,45.7517,60.3550,12.6142,13.3858
1/1/2018,13,428.9250,47.2492,60.4583,11.8758,13.3792
1/1/2018,14,428.9750,48.3425,60.4417,11.5633,13.2117
1/1/2018,15,338.9583,49.4208,60.4283,11.8133,12.9942
1/1/2018,16,177.4658,50.2292,60.7183,11.7992,12.8850
1/1/2018,17,30.5530,50.1308,61.1250,13.1808,12.7058
1/1/2018,18,0.1427,49.5467,61.5392,18.3050,12.6308
1/1/2018,19,-0.0187,49.1075,61.7208,23.2525,12.6025
1/1/2018,20,-0.0185,48.6700,61.7633,23.0942,12.5858
1/1/2018,21,-0.0134,48.1400,61.8842,23.8750,12.5633
1/1/2018,22,-0.0174,47.6317,61.7825,26.3850,12.5517
1/1/2018,23,-0.0137,47.2008,61.7767,30.0258,12.5308
1/2/2018,0,-0.0217,46.7775,61.6408,32.4050,12.5108
1/2/2018,1,-0.0213,46.3667,61.4942,34.7633,12.4892
1/2/2018,2,-0.0228,46.0158,61.4192,37.4833,12.4700
1/2/2018,3,-0.0291,45.6025,61.2950,39.5092,12.4442
1/2/2018,4,-0.0265,45.1767,61.1933,41.2500,12.4267
1/2/2018,5,-0.0247,44.7567,61.0975,42.6533,12.4008
1/2/2018,6,-0.0233,44.2975,60.7758,32.6100,12.3775
1/2/2018,7,-0.0119,43.7917,60.6542,27.1975,12.3608
1/2/2018,8,6.3565,43.1692,60.3542,28.7333,12.3550
1/2/2018,9,125.0517,42.5683,60.0367,25.0333,12.6017
1/2/2018,10,345.8833,42.6692,59.8783,16.2475,13.1900
1/2/2018,11,462.5083,43.2675,59.7250,12.7733,13.3650
1/2/2018,12,524.6250,44.2733,59.7242,10.8350,13.4000
1/2/2018,13,526.8750,45.8142,59.8150,9.8058,13.4000
1/2/2018,14,467.9583,47.3625,59.8592,9.1233,13.1892
1/2/2018,15,355.0417,48.5100,59.9792,8.1308,12.9833
1/2/2018,16,205.3750,49.3958,60.2717,7.5708,12.8792
1/2/2018,17,42.0662,49.6383,60.7400,9.3583,12.7467
1/2/2018,18,0.0946,49.0375,61.1208,15.0683,12.6358
1/2/2018,19,-0.0278,48.2642,61.2317,14.5117,12.6075
1/2/2018,20,-0.0325,47.4867,61.3217,14.3483,12.5883
1/2/2018,21,-0.0333,46.8208,61.2992,14.2358,12.5700
1/2/2018,22,-0.0305,46.1725,61.2558,11.6550,12.5542
1/2/2018,23,-0.0269,45.4450,61.1300,11.0692,12.5342
1/3/2018,0,-0.0285,44.8358,61.0233,13.6100,12.5158
1/3/2018,1,-0.0202,44.3292,60.8933,13.3933,12.4950
1/3/2018,2,-0.0211,43.7783,60.7492,14.3950,12.4775
1/3/2018,3,-0.0183,43.2550,60.5617,16.9025,12.4567
1/3/2018,4,-0.0145,42.8108,60.4533,18.9150,12.4358
1/3/2018,5,-0.0147,42.3792,60.2225,19.7017,12.4092
1/3/2018,6,-0.0149,41.9292,60.0133,20.1442,12.3892
1/3/2018,7,0.0075,41.5300,59.7942,20.4108,12.3633
1/3/2018,8,7.2383,41.0850,59.5783,23.1867,12.3500
1/3/2018,9,122.7467,40.7342,59.3733,23.2350,12.6050
1/3/2018,10,333.0917,41.1217,59.2308,21.2517,13.2175
1/3/2018,11,448.2583,42.0292,59.1775,15.4225,13.3825
1/3/2018,12,522.4667,45.2358,60.0875,13.7542,13.4008
1/3/2018,13,528.4750,53.1867,61.2133,10.7983,13.4000
1/3/2018,14,440.7167,60.1608,61.9250,9.7650,13.3183
1/3/2018,15,362.7583,64.0217,62.8308,9.3383,13.1925
1/3/2018,16,222.7583,68.1567,63.7542,8.1633,13.1100
1/3/2018,17,20.3379,69.2000,64.8158,8.1483,12.7575
1/3/2018,18,0.0886,68.7300,65.6100,9.0167,12.6467
1/3/2018,19,-0.0328,67.5900,66.1533,7.4390,12.6183
1/3/2018,20,-0.0283,66.6192,66.8233,7.9475,12.6033
1/3/2018,21,-0.0316,65.7508,67.2050,9.3042,12.5833
1/3/2018,22,-0.0238,64.9000,67.4617,10.3908,12.5758
1/3/2018,23,-0.0287,64.1250,67.6208,10.3492,12.5583
1/4/2018,0,-0.0250,63.9825,67.7125,9.7383,12.5433
1/4/2018,1,-0.0213,63.6542,67.7867,10.4275,12.5225
1/4/2018,2,-0.0289,63.1675,67.7950,8.5708,12.5067
1/4/2018,3,-0.0266,62.9292,67.8725,10.6675,12.4892
1/4/2018,4,-0.0202,62.7258,67.8267,13.9333,12.4742
1/4/2018,5,-0.0225,62.4167,67.8058,13.8408,12.4542
1/4/2018,6,-0.0256,61.9967,67.7600,13.0217,12.4367
1/4/2018,7,-0.0163,61.6367,67.6825,13.2392,12.4142
1/4/2018,8,8.4198,61.8325,67.5392,15.1133,12.3967
1/4/2018,9,120.4825,63.5275,67.5158,15.2708,12.6458
1/4/2018,10,338.6083,65.7533,66.7817,14.9325,13.1592
1/4/2018,11,463.3917,66.7183,65.9792,9.5850,13.2917
1/4/2018,12,528.5167,66.8150,66.0858,7.4584,13.3283
1/4/2018,13,528.7083,67.4458,66.2492,11.8192,13.3300
1/4/2018,14,470.0167,68.0467,66.4183,16.9125,13.1100
1/4/2018,15,357.1333,68.2783,66.6750,17.6958,12.9008
1/4/2018,16,209.4667,68.3850,66.9833,16.4983,12.8083
1/4/2018,17,39.2761,67.9750,67.3792,15.6275,12.6933
1/4/2018,18,0.2580,66.9867,67.6175,23.8325,12.6208
1/4/2018,19,-0.0203,65.7875,67.6075,28.0867,12.5975
1/4/2018,20,-0.0232,64.5583,67.5442,32.2683,12.5833
1/4/2018,21,-0.0250,63.3925,67.4350,34.6633,12.5633
1/4/2018,22,-0.0260,62.1508,67.2375,30.8875,12.5492
1/4/2018,23,-0.0245,60.9550,67.0192,29.5508,12.5292
1/5/2018,0,-0.0198,59.9492,66.7750,30.8400,12.5092
1/5/2018,1,-0.0212,58.9775,66.5242,32.3367,12.4883
1/5/2018,2,-0.0215,58.0008,66.2333,38.4683,12.4708
1/5/2018,3,-0.0170,56.9842,65.9675,39.2108,12.4483
1/5/2018,4,-0.0197,56.1017,65.7500,38.9492,12.4308
1/5/2018,5,-0.0172,55.3608,65.4625,39.6117,12.4075
1/5/2018,6,-0.0182,54.6142,65.2375,38.0583,12.3875
1/5/2018,7,-0.0022,53.9075,64.9917,36.9550,12.3708
1/5/2018,8,8.6408,53.2108,64.7083,34.1217,12.3650
1/5/2018,9,90.9208,52.5892,64.4842,34.3300,12.6050
1/5/2018,10,222.8583,52.3617,64.2883,30.4383,13.3117
1/5/2018,11,262.1167,52.4992,64.1900,27.5908,13.3483
1/5/2018,12,508.4833,53.0575,64.0917,25.3950,13.3492
1/5/2018,13,523.6667,54.5758,64.0367,24.0850,13.3500
1/5/2018,14,416.7833,55.9892,63.9317,24.7800,13.3375
1/5/2018,15,383.4667,56.6417,64.1417,23.5000,13.3425
1/5/2018,16,218.5500,57.3383,64.3833,23.5867,13.1758
1/5/2018,17,63.0538,57.6700,64.7417,24.2867,12.9117
1/5/2018,18,0.1538,57.1733,65.0517,31.1367,12.6667
1/5/2018,19,-0.0159,56.5417,65.1567,35.1158,12.6158
1/5/2018,20,-0.0178,55.9617,65.1958,38.5083,12.5992
1/5/2018,21,-0.0229,55.4075,65.1908,41.5042,12.5833
1/5/2018,22,-0.0283,54.7758,65.1517,43.8883,12.5700
1/5/2018,23,-0.0293,54.1817,65.0267,46.1817,12.5567
1/6/2018,0,-0.0228,53.5708,64.8917,48.6767,12.5425
1/6/2018,1,-0.0232,52.9342,64.6975,49.8292,12.5250
1/6/2018,2,-0.0226,52.3208,64.5100,50.6117,12.5108
1/6/2018,3,-0.0249,51.7675,64.3658,51.5733,12.4925
1/6/2018,4,-0.0207,51.1992,64.1633,52.1933,12.4800
1/6/2018,5,-0.0206,50.6292,64.0333,49.1992,12.4642
1/6/2018,6,-0.0206,50.1592,63.8558,49.2300,12.4492
1/6/2018,7,-0.0092,49.6608,63.6892,48.3333,12.4292
1/6/2018,8,12.3875,49.1275,63.4858,48.8700,12.4183
1/6/2018,9,116.5817,48.7083,63.3467,49.3050,12.7375
1/6/2018,10,301.3417,48.9308,63.1867,41.7533,13.2858
1/6/2018,11,311.9750,49.4317,63.0000,35.9750,13.3592
1/6/2018,12,418.7417,50.1867,62.9692,32.1458,13.3600
1/6/2018,13,491.8667,51.4167,62.9692,27.3408,13.3600
1/6/2018,14,417.8167,52.8517,63.0133,24.9783,13.3667
1/6/2018,15,135.5750,53.3117,63.1542,27.3700,13.2417
1/6/2018,16,202.7183,53.7842,63.4142,27.5867,13.0183
1/6/2018,17,20.5818,53.8858,63.6575,33.3550,12.7208
1/6/2018,18,0.1226,53.4900,63.8650,40.9575,12.6325
1/6/2018,19,-0.0270,53.1300,63.9700,44.8375,12.6042
1/6/2018,20,-0.0273,52.8150,64.0417,48.0158,12.5875
1/6/2018,21,-0.0213,52.4775,63.9742,51.8050,12.5733
1/6/2018,22,-0.0176,52.0450,63.9617,54.3992,12.5592
1/6/2018,23,-0.0146,51.6575,63.9050,57.2425,12.5433
1/7/2018,0,-0.0153,51.2417,63.8483,58.4725,12.5267
1/7/2018,1,-0.0155,50.8325,63.7425,58.2033,12.5092
1/7/2018,2,-0.0150,50.4317,63.5525,53.7225,12.4925
1/7/2018,3,-0.0159,50.0817,63.5508,54.0650,12.4733
1/7/2018,4,-0.0138,49.5833,63.3958,53.5383,12.4550
1/7/2018,5,-0.0162,49.2200,63.2308,56.9242,12.4333
1/7/2018,6,-0.0182,48.8892,63.1592,63.0958,12.4125
1/7/2018,7,-0.0104,48.4183,63.0433,57.8033,12.3917
1/7/2018,8,5.9284,47.8875,62.7850,56.9625,12.3817
1/7/2018,9,114.9875,47.5217,62.5133,48.2375,12.5783
1/7/2018,10,315.8833,47.6367,62.4033,37.5942,13.2525
1/7/2018,11,464.3667,48.1550,62.2250,29.0058,13.3358
1/7/2018,12,474.9333,48.8925,62.2025,27.8817,13.3642
1/7/2018,13,315.1417,49.6192,62.1742,28.0725,13.3700
1/7/2018,14,213.0167,49.9383,62.3125,29.7475,13.3433
1/7/2018,15,355.3167,50.4242,62.3533,28.8133,13.0233
1/7/2018,16,208.6083,51.4067,62.4625,29.0600,12.8575
1/7/2018,17,48.1005,51.7983,62.8475,31.3950,12.7233
1/7/2018,18,0.4880,51.2642,63.0217,38.4133,12.6325
1/7/2018,19,-0.0198,50.8483,63.1125,36.5925,12.6000
1/7/2018,20,-0.0266,50.3450,63.1392,36.8608,12.5850
1/7/2018,21,-0.0233,49.7217,63.1317,38.0400,12.5675
1/7/2018,22,-0.0251,49.1983,63.0625,38.9750,12.5550
1/7/2018,23,-0.0258,48.7592,63.0475,41.1200,12.5317
1/8/2018,0,-0.0327,48.2900,62.9342,43.3183,12.5183
1/8/2018,1,-0.0281,47.8417,62.7742,45.5083,12.4975
1/8/2018,2,-0.0288,47.4408,62.6600,45.9208,12.4792
1/8/2018,3,-0.0317,47.0117,62.5275,45.9067,12.4583
1/8/2018,4,-0.0208,46.5642,62.3708,43.5675,12.4392
1/8/2018,5,-0.0210,46.1175,62.1992,43.1125,12.4125
1/8/2018,6,-0.0164,45.6892,62.0108,45.2958,12.3917
1/8/2018,7,0.0014,45.2542,61.8483,43.7808,12.3725
1/8/2018,8,9.2796,44.8575,61.6975,44.2750,12.3617
1/8/2018,9,55.3525,44.6042,61.5725,43.9033,12.4217
1/8/2018,10,122.9500,44.5642,61.4017,42.7717,12.7025
1/8/2018,11,249.3417,44.7417,61.2933,34.1517,13.1792
1/8/2018,12,314.0333,45.3783,61.2408,29.9600,13.3758
1/8/2018,13,388.1917,46.5175,61.2742,23.5983,13.3783
1/8/2018,14,393.3583,47.6800,61.3550,20.0433,13.3833
1/8/2018,15,389.4833,49.6875,61.5150,17.2950,13.2108
1/8/2018,16,215.4333,51.4850,61.8750,16.6992,12.9558
1/8/2018,17,36.3978,52.0500,62.2250,17.1758,12.7425
1/8/2018,18,0.1952,51.7792,62.5717,21.5283,12.6400
1/8/2018,19,-0.0250,51.4675,62.7950,23.9608,12.6092
1/8/2018,20,-0.0248,51.1758,62.9708,25.9283,12.5917
1/8/2018,21,-0.0237,50.9833,63.0833,28.7675,12.5733
1/8/2018,22,-0.0237,50.5650,63.1333,30.4508,12.5575
1/8/2018,23,-0.0238,50.2258,63.1317,31.3883,12.5375
1/9/2018,0,-0.0246,49.9425,63.1117,35.5442,12.5175
1/9/2018,1,-0.0278,49.6308,63.1158,42.3675,12.4967
1/9/2018,2,-0.0246,49.2700,63.0767,48.8000,12.4758
1/9/2018,3,-0.0201,48.8733,62.9817,54.5250,12.4525
1/9/2018,4,-0.0186,48.5317,62.8933,57.8533,12.4300
